,count
Eczema,1056
Allergic Contact Dermatitis,873
Insect Bite,403
Urticaria,332
Psoriasis,308
Folliculitis,268
Irritant Contact Dermatitis,249
Tinea,206
Drug Rash,148
Herpes Zoster,142
Herpes Simplex,141
"Acute dermatitis, NOS",124
Impetigo,121
Hypersensitivity,113
Leukocytoclastic Vasculitis,99
Acne,98
Pigmented purpuric eruption,98
Lichen planus/lichenoid eruption,89
Viral Exanthem,82
Pityriasis rosea,80
Lichen Simplex Chronicus,78
Stasis Dermatitis,70
CD - Contact dermatitis,70
Scabies,63
Molluscum Contagiosum,63
Keratosis pilaris,61
Granuloma annulare,59
Tinea Versicolor,53
Rosacea,52
O/E - ecchymoses present,50
"Abrasion, scrape, or scab",48
Acute and chronic dermatitis,47
Seborrheic Dermatitis,46
Photodermatitis,43
Abscess,41
Verruca vulgaris,40
Cellulitis,39
SCC/SCCIS,37
Purpura,36
Miliaria,36
Erythema multiforme,33
Syphilis,32
Cutaneous lupus,31
Intertrigo,31
Inflicted skin lesions,29
Post-Inflammatory hyperpigmentation,28
Pityriasis lichenoides,28
Prurigo nodularis,27
Lichen nitidus,27
"Chronic dermatitis, NOS",27
Perioral Dermatitis,26
Skin and soft tissue atypical mycobacterial infection,25
Xerosis,24
Cutaneous sarcoidosis,24
Infected eczema,23
Scar Condition,23
Actinic Keratosis,22
Basal Cell Carcinoma,21
Cyst,20
SK/ISK,17
Deep fungal infection,16
Burn of skin,16
Erythema ab igne,16
Cutaneous T Cell Lymphoma,16
Skin infection,15
Hemangioma,15
Dermatitis herpetiformis,14
Hidradenitis,14
Kaposi's sarcoma of skin,13
Erythema annulare centrifugum,13
Porokeratosis,13
Candida intertrigo,13
Melanocytic Nevus,12
Remove from labeling tool,12
Erythema migrans,11
Lichen spinulosus,11
Ecthyma,11
Localized skin infection,11
Milia,11
Superficial wound of body region,10
"Contact dermatitis, NOS",10
Livedo reticularis,10
Grover's disease,10
Vasculitis of the skin,10
Bullous Pemphigoid,9
Amyloidosis of skin,9
Cutaneous larva migrans,9
Pityriasis rubra pilaris,8
Confluent and reticulate papillomatosis,8
Dermatofibroma,8
Erythema nodosum,8
Parapsoriasis,8
Geographic tongue,8
Onychomycosis,7
Perforating dermatosis,7
Skin cancer,7
Annular erythema,7
Animal bite - wound,7
Melanoma,7
Traumatic petechiae,7
O/E - petechiae on skin,7
Ichthyosis,6
Pruritic urticarial papules and plaques of pregnancy,6
Post-Inflammatory hypopigmentation,6
Vitiligo,6
Candidal intertrigo,6
Keratoderma,6
Lichenified eczematous dermatitis,6
Keratosis,6
Chilblain,6
Morphea/Scleroderma,6
Sunburn,6
Lichenoid myxedema,6
Sweet syndrome,5
Granuloma faciale,5
Pseudolymphoma,5
Melasma,5
Lymphangioma,5
Epidermal nevus,5
Acanthosis nigricans,5
Atypical Nevus,5
Necrobiosis lipoidica,5
Paronychia,5
Condyloma acuminatum,4
Adnexal neoplasm,4
Pityriasis alba,4
Livedoid vasculopathy,4
Prurigo,4
Lichen striatus,4
Koebner phenomenon,4
Clavus,4
Hand foot and mouth disease,4
Psoriasiform dermatitis,4
Flagellate erythema,4
Phytophotodermatitis,4
Primary cutaneous lymphoma,4
Pretibial myxedema,4
Erythema gyratum repens,4
Pyogenic granuloma,4
O/E - pustules,4
Granulomatous disorder of the skin and subcutaneous tissue,4
HK - Hyperkeratosis,4
Candida,4
Calcinosis cutis,4
Bullous dermatitis,3
Contact purpura,3
Acute generalised exanthematous pustulosis,3
Nail dystrophy due to trauma,3
Lymphomatoid papulosis,3
Blister,3
Lichen sclerosus,3
O/E - petechiae present,3
Lentigo,3
Cutaneous leishmaniasis,3
Pemphigus vulgaris,3
Angiokeratoma of skin,3
B-Cell Cutaneous Lymphoma,3
Fungal dermatosis,3
Cutaneous lyme disease,3
RMSF - Rocky Mountain spotted fever,3
Pyoderma Gangrenosum,3
Foreign body reaction of the skin,3
SLE - Systemic lupus erythematosus-related syndrome,3
Inflammatory dermatosis,3
Burn erythema of back of hand,3
Linear IgA disease,3
AKV - Acrokeratosis verruciformis,3
Localized cutaneous vasculitis,3
Hailey Hailey disease,3
Dermatomyositis,3
Skin lesion in drug addict,3
Contact dermatitis caused by Rhus diversiloba,3
Dermatosis due to flea,2
Onychodystrophy,2
Fox-Fordyce disease,2
Traumatic blister,2
Pemphigoid gestationis,2
Hemosiderin pigmentation of skin due to venous insufficiency,2
Cutaneous metastasis,2
"Bullous dermatitis, NOS",2
Comedone,2
Fungal dermatitis,2
Darier's disease,2
Foot ulcer,2
Pemphigus foliaceus,2
Abrasion of wrist,2
Hematoma of skin,2
Acne keloidalis,2
Drug induced abnormal pigmentation of skin,2
Chicken pox exanthem,2
Benign cutaneous vascular tumor,2
Skin ulcer,2
Mycetoma,2
Erythema dyschromicum perstans,2
Actinic granuloma,2
Tuberculosis of skin and subcutaneous tissue,2
Idiopathic guttate hypomelanosis,2
Venous Stasis Ulcer,2
Burn erythema of lower leg,2
Ingrown hair,2
Traumatic ulcer,2
Small plaque parapsoriasis,2
Bullous dermatosis,2
Foreign body,2
Leukemia cutis,2
Localised skin infection,2
Chemical leukoderma,2
Acute constitutional eczema,2
Panniculitis,2
Inverse psoriasis,2
Petechiae,2
Nail dystrophy,2
Flushing,2
Autoimmune diseases affecting skin,2
Paget disease,2
