race_group,non_condition,condition
american_indian_or_alaska_native,32,16
"american_indian_or_alaska_native,white",16,9
asian,64,21
"asian,white",6,5
black_or_african_american,189,78
"black_or_african_american,hispanic_latino_or_spanish_origin",8,3
"black_or_african_american,white",18,2
hispanic_latino_or_spanish_origin,162,62
"hispanic_latino_or_spanish_origin,white",36,19
middle_eastern_or_north_african,6,1
native_hawaiian_or_pacific_islander,4,0
other_race,12,4
prefer_not_to_answer,30,4
two_or_more_after_mitigation,58,25
unspecified,1975,406
white,1361,401
