label,count
psoriasis,653
squamous cell carcinoma,581
lichen planus,491
basal cell carcinoma,468
allergic contact dermatitis,430
lupus erythematosus,410
neutrophilic dermatoses,361
sarcoidosis,349
photodermatoses,348
folliculitis,342
scabies,339
acne vulgaris,335
scleroderma,309
pityriasis rubra pilaris,278
melanoma,261
nematode infection,260
erythema multiforme,236
granuloma annulare,211
eczema,204
drug eruption,200
pityriasis rosea,193
neurofibromatosis,189
acne,183
porokeratosis actinic,183
mycosis fungoides,182
actinic keratosis,175
hailey hailey disease,174
prurigo nodularis,170
vitiligo,166
kaposi sarcoma,156
keloid,156
dariers disease,153
tungiasis,152
pediculosis lids,151
dermatomyositis,151
urticaria,151
papilomatosis confluentes and reticulate,150
juvenile xanthogranuloma,149
tuberous sclerosis,141
lyme disease,129
syringoma,127
porphyria,127
ehlers danlos syndrome,127
seborrheic dermatitis,126
telangiectases,126
fixed eruptions,125
necrobiosis lipoidica,123
superficial spreading melanoma ssm,118
stevens johnson syndrome,113
pyogenic granuloma,113
urticaria pigmentosa,112
milia,112
lupus subacute,111
malignant melanoma,111
scleromyxedema,108
cheilitis,106
incontinentia pigmenti,102
rosacea,102
lymphangioma,100
fordyce spots,100
lichen simplex,97
nevus sebaceous of jadassohn,95
pilar cyst,93
acrodermatitis enteropathica,92
mucinosis,92
acanthosis nigricans,92
epidermal nevus,91
rhinophyma,91
hidradenitis,90
erythema annulare centrifigum,88
nevocytic nevus,86
dyshidrotic eczema,83
lentigo maligna,83
halo nevus,82
xeroderma pigmentosum,81
erythema nodosum,81
calcinosis cutis,80
dermatofibroma,79
mucous cyst,79
porokeratosis of mibelli,78
keratosis pilaris,78
lichen amyloidosis,77
granuloma pyogenic,75
pityriasis lichenoides chronica,73
neurotic excoriations,73
naevus comedonicus,73
tick bite,73
aplasia cutis,72
drug induced pigmentary changes,71
epidermolysis bullosa,70
stasis edema,69
neurodermatitis,69
seborrheic keratosis,69
congenital nevus,68
striae,67
acquired autoimmune bullous diseaseherpes gestationis,67
myiasis,67
sun damaged skin,66
solid cystic basal cell carcinoma,66
factitial dermatitis,66
ichthyosis vulgaris,65
behcets disease,63
becker nevus,63
basal cell carcinoma morpheiform,62
perioral dermatitis,61
livedo reticularis,60
disseminated actinic porokeratosis,60
langerhans cell histiocytosis,60
paronychia,59
port wine stain,59
erythema elevatum diutinum,55
pustular psoriasis,53
pilomatricoma,53
xanthomas,53
