image_path,folder,filename,stem,parts,part0,part1,part2
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_0_7632dbe0.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_0_7632dbe0.jpg,ac-au-bu-di-ge_f1_0_7632dbe0,"['ac-au-bu-di-ge', 'f1', '0', '7632dbe0']",ac-au-bu-di-ge,f1,0
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_13_0d8a8465.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_13_0d8a8465.jpg,ac-au-bu-di-ge_f1_13_0d8a8465,"['ac-au-bu-di-ge', 'f1', '13', '0d8a8465']",ac-au-bu-di-ge,f1,13
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_15_11a121c6.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_15_11a121c6.jpg,ac-au-bu-di-ge_f1_15_11a121c6,"['ac-au-bu-di-ge', 'f1', '15', '11a121c6']",ac-au-bu-di-ge,f1,15
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_18_b2b7c4f8.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_18_b2b7c4f8.jpg,ac-au-bu-di-ge_f1_18_b2b7c4f8,"['ac-au-bu-di-ge', 'f1', '18', 'b2b7c4f8']",ac-au-bu-di-ge,f1,18
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_19_d56176c7.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_19_d56176c7.jpg,ac-au-bu-di-ge_f1_19_d56176c7,"['ac-au-bu-di-ge', 'f1', '19', 'd56176c7']",ac-au-bu-di-ge,f1,19
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_21_2b2e5e50.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_21_2b2e5e50.jpg,ac-au-bu-di-ge_f1_21_2b2e5e50,"['ac-au-bu-di-ge', 'f1', '21', '2b2e5e50']",ac-au-bu-di-ge,f1,21
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_26_4d41674b.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_26_4d41674b.jpg,ac-au-bu-di-ge_f1_26_4d41674b,"['ac-au-bu-di-ge', 'f1', '26', '4d41674b']",ac-au-bu-di-ge,f1,26
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_27_ec8e57d5.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_27_ec8e57d5.jpg,ac-au-bu-di-ge_f1_27_ec8e57d5,"['ac-au-bu-di-ge', 'f1', '27', 'ec8e57d5']",ac-au-bu-di-ge,f1,27
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_28_ef9d5d96.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_28_ef9d5d96.jpg,ac-au-bu-di-ge_f1_28_ef9d5d96,"['ac-au-bu-di-ge', 'f1', '28', 'ef9d5d96']",ac-au-bu-di-ge,f1,28
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_31_75a4dac1.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_31_75a4dac1.jpg,ac-au-bu-di-ge_f1_31_75a4dac1,"['ac-au-bu-di-ge', 'f1', '31', '75a4dac1']",ac-au-bu-di-ge,f1,31
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_38_ddd82dcd.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_38_ddd82dcd.jpg,ac-au-bu-di-ge_f1_38_ddd82dcd,"['ac-au-bu-di-ge', 'f1', '38', 'ddd82dcd']",ac-au-bu-di-ge,f1,38
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_39_a942cdf5.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_39_a942cdf5.jpg,ac-au-bu-di-ge_f1_39_a942cdf5,"['ac-au-bu-di-ge', 'f1', '39', 'a942cdf5']",ac-au-bu-di-ge,f1,39
C:\Users\Angad\Desktop\StemFellowship\data\raw\fitzpatrick\Categorized_AbbrvName\ac-au-bu-di-ge_67\ac-au-bu-di-ge_f1_3_8734b19f.jpg,ac-au-bu-di-ge_67,ac-au-bu-di-ge_f1_3_8734b19f.jpg,ac-au-bu-di-ge_f1_3_8734b19f,"['ac-au-bu-di-ge', 'f1', '3', '8734b19f']",ac-au-bu-di-ge,f1,3
